Wall time,Step,Value
1596490005.8494852,1,-0.006304142065346241
1596490011.5583725,2,-0.02183361165225506
1596490017.871058,3,-0.039273425936698914
1596490023.8361456,4,-0.04756973683834076
1596490028.9452221,5,-0.06589744985103607
1596490033.944426,6,-0.0911768227815628
1596490040.1452403,7,-0.10527624934911728
1596490046.4524424,8,-0.1372326910495758
1596490052.667235,9,-0.13601461052894592
1596490058.6662784,10,-0.15258662402629852
1596490064.1259475,11,-0.15760138630867004
1596490068.9138978,12,-0.17358602583408356
1596490074.7042084,13,-0.19102682173252106
1596490080.9389808,14,-0.19963452219963074
1596490085.814328,15,-0.18597348034381866
1596490091.640066,16,-0.18972766399383545
1596490099.1283984,17,-0.23768185079097748
1596490104.8991823,18,-0.2208852767944336
1596490110.0332255,19,-0.24528717994689941
1596490115.6112547,20,-0.2861957550048828
1596490121.7681115,21,-0.31255507469177246
1596490127.0230138,22,-0.28606894612312317
1596490133.2333112,23,-0.34131938219070435
1596490139.1259735,24,-0.30456843972206116
1596490144.5503192,25,-0.3538036644458771
1596490149.854176,26,-0.3249877989292145
1596490156.385103,27,-0.3210994601249695
1596490162.1019711,28,-0.40416234731674194
1596490167.9102278,29,-0.3847445547580719
1596490174.191962,30,-0.3656582832336426
1596490180.669947,31,-0.4046093821525574
1596490187.6738577,32,-0.3882284164428711
1596490193.237907,33,-0.5076239109039307
1596490199.3598056,34,-0.4450128674507141
1596490205.301071,35,-0.4709887206554413
1596490214.297158,36,-0.3864462375640869
1596490219.8462222,37,-0.46469372510910034
1596490226.4810247,38,-0.4601457417011261
1596490232.5290112,39,-0.4537244141101837
1596490239.186788,40,-0.46948182582855225
1596490245.655784,41,-0.4505985379219055
1596490251.7811809,42,-0.48593270778656006
1596490259.4457908,43,-0.4448896646499634
1596490264.5658526,44,-0.5243133902549744
1596490270.0729663,45,-0.5550211668014526
1596490278.1600852,46,-0.4647848606109619
1596490284.0547445,47,-0.5666386485099792
1596490290.2410696,48,-0.5524841547012329
1596490296.571724,49,-0.5507345199584961
1596490303.2889361,50,-0.524044394493103
1596490359.6377635,51,-0.6495006084442139
1596490365.75866,52,-0.5928646922111511
1596490372.7650337,53,-0.5857060551643372
1596490380.1200027,54,-0.5388651490211487
1596490388.4899032,55,-0.5221346616744995
1596490394.5588605,56,-0.5830807685852051
1596490400.577877,57,-0.602400004863739
1596490406.5569422,58,-0.5945674180984497
1596490414.4318056,59,-0.5835399031639099
1596490420.9807093,60,-0.6555877923965454
1596490429.1567242,61,-0.6010183691978455
1596490434.9270334,62,-0.7305861711502075
1596490441.1877809,63,-0.7478180527687073
1596490447.5548952,64,-0.6511535048484802
1596490454.160733,65,-0.7258079051971436
1596490460.7126336,66,-0.7194340229034424
1596490469.1308718,67,-0.6264854669570923
1596490475.1958392,68,-0.8151546716690063
1596490482.2606468,69,-0.6740067601203918
1596490488.9488895,70,-0.7719051837921143
1596490494.5718687,71,-0.8739628791809082
1596490501.3305376,72,-0.7777129411697388
1596490509.6708806,73,-0.6674874424934387
1596490516.5104427,74,-0.8121978640556335
1596490523.759535,75,-0.7054486870765686
1596490530.9247248,76,-0.7916157841682434
1596490537.7967532,77,-0.8245164752006531
1596490547.861592,78,-0.6590786576271057
1596490556.6748698,79,-0.7157186269760132
1596490567.5978024,80,-0.7194579243659973
1596490574.9497738,81,-0.7967630624771118
1596490583.856438,82,-0.731766402721405
1596490592.0554247,83,-0.7316568493843079
1596490600.7263684,84,-0.7267627120018005
1596490610.659345,85,-0.7347014546394348
1596490620.5343919,86,-0.709667980670929
1596490629.213322,87,-0.781396746635437
1596490640.2904713,88,-0.6521685719490051
1596490649.2885323,89,-0.7082247734069824
1596490659.1196253,90,-0.69337397813797
1596490669.460626,91,-0.6931456923484802
1596490678.0147047,92,-0.6995086669921875
1596490686.9115126,93,-0.7005019783973694
1596490695.6314,94,-0.7001088857650757
1596490704.701389,95,-0.6752108335494995
1596490714.1893842,96,-0.6653985977172852
1596490726.1145492,97,-0.6570398211479187
1596490733.9854162,98,-0.7500430345535278
1596490744.9621823,99,-0.6535361409187317
1596490755.9883935,100,-0.6088669300079346
1596490904.132141,101,-0.661687970161438
1596490913.6471066,102,-0.6401162147521973
1596490923.8822346,103,-0.6142675280570984
1596490936.0671,104,-0.5975731015205383
1596490946.4330761,105,-0.5909478068351746
1596490957.7819574,106,-0.5867981910705566
1596490968.6743264,107,-0.6388767957687378
1596490979.888317,108,-0.5950590372085571
1596490988.2962272,109,-0.6104812622070312
1596491000.0421002,110,-0.60487961769104
1596491010.0569804,111,-0.6048091650009155
1596491020.2861176,112,-0.5942983627319336
1596491030.8983128,113,-0.5801522731781006
1596491040.9481564,114,-0.581178605556488
1596491051.5428689,115,-0.5511531829833984
1596491060.687267,116,-0.5500024557113647
1596491068.4572568,117,-0.5862130522727966
1596491078.4681716,118,-0.5765208601951599
1596491090.4233234,119,-0.5273656249046326
1596491100.9231448,120,-0.5357828140258789
1596491111.0409167,121,-0.5279830098152161
1596491123.030015,122,-0.5277376770973206
1596491132.077025,123,-0.5986365079879761
1596491141.621963,124,-0.5485354661941528
1596491151.961969,125,-0.5542058944702148
1596491163.2788398,126,-0.5460304617881775
1596491174.8219492,127,-0.5240495204925537
1596491187.8638208,128,-0.5613031983375549
1596491198.3551528,129,-0.553653359413147
1596491211.9159229,130,-0.5314120054244995
1596491223.21881,131,-0.5781431198120117
1596491232.264818,132,-0.5625620484352112
1596491244.4227118,133,-0.5463116765022278
1596491254.829637,134,-0.5122303366661072
1596491266.451654,135,-0.5676018595695496
1596491277.305063,136,-0.5606164336204529
1596491288.5380337,137,-0.5430157780647278
1596491302.058843,138,-0.5797150731086731
1596491314.290651,139,-0.5790061354637146
1596491327.554767,140,-0.5437619686126709
1596491340.9756975,141,-0.5286400318145752
1596491353.939805,142,-0.4970158040523529
1596491366.8508267,143,-0.498663991689682
1596491380.480527,144,-0.4688922166824341
1596491390.525877,145,-0.4836679995059967
1596491403.901436,146,-0.4547692537307739
1596491415.1014457,147,-0.48654815554618835
1596491431.736654,148,-0.4639754593372345
1596491447.4004784,149,-0.4336329698562622
1596491459.7816231,150,-0.40324386954307556
1596491695.7916343,151,-0.4053085744380951
1596491706.4822981,152,-0.4141761064529419
1596491720.2483327,153,-0.45245036482810974
1596491736.7781527,154,-0.3865686058998108
1596491746.383511,155,-0.4246743619441986
1596491758.9474378,156,-0.42416566610336304
1596491774.4114969,157,-0.38945984840393066
1596491786.7851374,158,-0.38327786326408386
1596491799.1810772,159,-0.3455367982387543
1596491816.994428,160,-0.3378170430660248
1596491832.4235282,161,-0.3194611966609955
1596491848.2921126,162,-0.3321036696434021
1596491863.6772661,163,-0.3053537905216217
1596491876.5463388,164,-0.35626375675201416
1596491891.499005,165,-0.29778480529785156
1596491899.9641867,166,-0.3549102544784546
1596491911.2640996,167,-0.32746750116348267
1596491923.1712852,168,-0.31501123309135437
1596491937.8592455,169,-0.3223666250705719
1596491952.1182039,170,-0.26933154463768005
1596491970.0039513,171,-0.26616591215133667
1596491981.442184,172,-0.25736668705940247
1596492001.1068685,173,-0.19288183748722076
1596492014.035903,174,-0.23762580752372742
1596492032.3102045,175,-0.17874403297901154
1596492049.7609565,176,-0.20510968565940857
1596492066.953011,177,-0.15258802473545074
1596492085.514975,178,-0.11830111593008041
1596492102.7539756,179,-0.1333344727754593
1596492117.1787372,180,-0.17415288090705872
1596492132.1748383,181,-0.15543092787265778
1596492146.9836545,182,-0.14110067486763
1596492164.4419012,183,-0.1405951976776123
1596492177.8878016,184,-0.13904035091400146
1596492193.260965,185,-0.10947990417480469
1596492212.4516988,186,-0.06943859159946442
1596492226.2177274,187,-0.11730724573135376
1596492240.4297364,188,-0.1296624094247818
1596492254.6967914,189,-0.11484871804714203
1596492278.1196194,190,-0.06456098705530167
1596492295.9639244,191,-0.07216029614210129
1596492317.8535655,192,-0.04464833810925484
1596492336.19179,193,-0.0752444788813591
1596492349.908876,194,-0.08547652512788773
1596492366.6474535,195,0.010517789982259274
1596492389.6487987,196,0.04765775054693222
1596492405.8185344,197,0.07535124570131302
1596492420.865578,198,-0.015117313712835312
1596492442.1463928,199,0.10628367960453033
1596492462.5032814,200,0.0728163868188858
1596492852.2908862,201,0.05456864461302757
1596492872.749049,202,0.05663076415657997
1596492893.964117,203,0.018661541864275932
1596492914.7128217,204,0.030010797083377838
1596492941.0020862,205,0.07512612640857697
1596492960.1339583,206,0.10090044885873795
1596492979.7981935,207,0.13619117438793182
1596492997.6979544,208,0.08802398294210434
1596493015.421928,209,0.10797864198684692
1596493038.6251438,210,0.12002186477184296
1596493065.7596824,211,0.2389512062072754
1596493082.921838,212,0.11992745101451874
1596493103.2798126,213,0.14286379516124725
1596493123.4300508,214,0.42074623703956604
1596493140.6036847,215,0.4171537458896637
1596493165.581953,216,0.4031195640563965
1596493186.4060013,217,0.23332341015338898
1596493200.6909633,218,0.4810890555381775
1596493229.4846325,219,0.33146581053733826
1596493245.6895003,220,0.45269665122032166
1596493259.4934916,221,0.4916166365146637
1596493274.418683,222,0.48032209277153015
1596493298.9757013,223,0.39887288212776184
1596493321.0745628,224,0.4056381583213806
1596493342.9118357,225,0.31047502160072327
1596493355.0697272,226,0.6290480494499207
1596493378.5255105,227,0.4292796552181244
1596493391.3756032,228,0.6522741913795471
1596493405.4033372,229,0.3855634033679962
1596493419.5664086,230,0.6624190211296082
