Wall time,Step,Value
1596322957.1806855,137,-4.0
1596322984.1723678,138,-13.0
1596323029.7944694,139,-2.0
1596323073.7115095,140,-2.0
1596323122.428549,141,4.0
1596323163.506388,142,6.0
1596323218.9001112,143,1.0
1596323251.2813911,144,-9.0
1596323283.496038,145,-10.0
1596323323.1510231,146,-6.0
1596323371.3021538,147,1.0
1596323409.6112595,148,-2.0
1596323457.7320297,149,-1.0
1596323502.3937075,150,-5.0
1596324016.0086863,151,5.0
1596324058.3701246,152,5.0
1596324101.0371194,153,-2.0
1596324142.860122,154,6.0
1596324192.737247,155,-1.0
1596324232.8412347,156,6.0
1596324274.960858,157,8.0
1596324317.6833203,158,7.0
1596324360.3318942,159,5.0
1596324403.2540882,160,4.0
1596324440.5008705,161,10.0
1596324484.8988602,162,8.0
1596324531.7989495,163,1.0
1596324582.869702,164,5.0
1596324629.3797402,165,3.0
1596324674.0738966,166,7.0
1596324713.566577,167,9.0
1596324759.1647081,168,4.0
1596324808.7476869,169,1.0
1596324851.1215804,170,10.0
1596324893.6222718,171,3.0
1596324939.56048,172,2.0
1596324979.5301614,173,6.0
1596325027.0230963,174,4.0
1596325076.0592067,175,2.0
1596325127.0500457,176,-1.0
1596325170.021194,177,6.0
1596325213.205201,178,6.0
1596325259.1791072,179,1.0
1596325293.960769,180,7.0
1596325328.7618933,181,10.0
1596325369.697893,182,8.0
1596325410.1799254,183,9.0
1596325444.454661,184,9.0
1596325481.180545,185,8.0
1596325521.0758255,186,11.0
1596325562.0018377,187,7.0
1596325603.7299209,188,11.0
1596325653.0517485,189,5.0
1596325685.3597753,190,12.0
1596325721.6067407,191,8.0
1596325750.005345,192,18.0
1596325790.332553,193,11.0
1596325828.7175145,194,11.0
1596325872.0533273,195,8.0
1596325912.923399,196,13.0
1596325947.312496,197,17.0
1596325987.8310084,198,9.0
1596326037.6751764,199,6.0
1596326066.1501381,200,17.0
1596326757.384387,201,10.0
1596326796.121495,202,11.0
1596326841.5614016,203,7.0
1596326887.3682463,204,10.0
1596326915.5180836,205,18.0
1596326951.4823947,206,12.0
1596326977.5671325,207,18.0
1596327010.1153705,208,9.0
1596327035.630031,209,18.0
1596327074.9838994,210,7.0
1596327114.2528384,211,10.0
1596327139.6918259,212,20.0
1596327174.3451216,213,10.0
1596327203.3509605,214,15.0
1596327239.6967814,215,13.0
1596327279.5989828,216,9.0
1596327303.4538002,217,17.0
1596327331.597642,218,17.0
1596327371.328538,219,7.0
1596327407.9195833,220,11.0
1596327434.5347707,221,19.0
1596327467.813659,222,10.0
1596327504.3308613,223,11.0
1596327550.2056375,224,7.0
1596327585.1945436,225,10.0
1596327616.5253243,226,14.0
1596327651.4073446,227,12.0
1596327683.042642,228,13.0
1596327711.3672774,229,18.0
1596327737.4431493,230,16.0
1596327770.9003253,231,14.0
1596327794.3945687,232,18.0
1596327836.5581431,233,9.0
1596327864.112239,234,16.0
1596327907.6971676,235,10.0
1596327937.6989524,236,16.0
1596327977.028329,237,7.0
1596328015.6470184,238,7.0
1596328048.1650698,239,15.0
1596328081.4529464,240,10.0
1596328119.655133,241,8.0
1596328151.3099086,242,14.0
1596328173.2529595,243,21.0
1596328209.4819286,244,9.0
1596328237.478946,245,17.0
1596328260.0487633,246,21.0
1596328298.5286155,247,11.0
1596328338.0257897,248,8.0
1596328362.3935163,249,18.0
1596328401.456836,250,9.0
1596328804.0540636,251,8.0
1596328830.2112644,252,18.0
1596328860.0240755,253,13.0
1596328887.1291358,254,15.0
1596328917.9508815,255,14.0
1596328943.2291126,256,18.0
1596328970.5259428,257,14.0
1596328998.5749068,258,13.0
1596329022.7937486,259,15.0
1596329054.4010992,260,12.0
1596329083.7780192,261,12.0
1596329105.675614,262,19.0
1596329127.3210092,263,18.0
1596329157.186867,264,11.0
1596329180.2576056,265,20.0
1596329207.1758766,266,13.0
1596329231.935652,267,18.0
1596329267.8285198,268,9.0
1596329312.9756496,269,9.0
1596329337.699465,270,17.0
1596329359.084695,271,18.0
1596329380.1927118,272,20.0
1596329414.7446277,273,12.0
1596329435.5095356,274,20.0
1596329464.997326,275,12.0
1596329485.8756073,276,20.0
1596329507.7707057,277,19.0
1596329534.3523612,278,20.0
1596329555.7964823,279,20.0
1596329576.2762246,280,20.0
1596329598.7012465,281,19.0
1596329622.057152,282,20.0
1596329643.2975123,283,18.0
1596329674.3080392,284,14.0
1596329693.8453724,285,21.0
1596329715.3394432,286,19.0
1596329736.3481467,287,19.0
1596329755.9209409,288,21.0
1596329783.7951014,289,15.0
1596329818.9098513,290,14.0
1596329846.939913,291,16.0
1596329871.9568875,292,18.0
1596329894.1201851,293,18.0
1596329921.615983,294,17.0
1596329943.2259097,295,20.0
1596329965.4930832,296,16.0
1596329986.149125,297,18.0
1596330019.4440742,298,14.0
1596330046.4827003,299,18.0
1596330074.8438065,300,16.0
1596330447.5835388,301,17.0
1596330469.6943803,302,19.0
1596330490.3913667,303,20.0
1596330509.8742633,304,21.0
1596330539.4254768,305,12.0
1596330568.6181273,306,18.0
1596330588.8711286,307,19.0
1596330615.5621676,308,18.0
1596330638.5321038,309,18.0
1596330663.07113,310,20.0
1596330683.8679967,311,19.0
1596330706.3109581,312,18.0
1596330730.0169513,313,20.0
1596330750.5980697,314,19.0
1596330770.7581758,315,20.0
1596330793.5322528,316,19.0
1596330815.9752162,317,20.0
1596330840.3509347,318,18.0
1596330865.7500482,319,18.0
1596330895.139945,320,14.0
1596330915.9937446,321,19.0
1596330938.9046562,322,20.0
1596330963.1350417,323,16.0
1596330989.705705,324,15.0
1596331010.4186661,325,19.0
1596331033.400003,326,20.0
1596331055.2276745,327,17.0
1596331079.0550313,328,18.0
1596331113.5216424,329,12.0
1596331136.69975,330,20.0
1596331156.8988252,331,21.0
1596331182.9795651,332,15.0
1596331209.270556,333,20.0
1596331229.682443,334,20.0
1596331264.4635851,335,5.0
1596331287.9283566,336,19.0
1596331313.678484,337,16.0
1596331340.480385,338,17.0
1596331363.0062873,339,18.0
1596331383.4735408,340,19.0
1596331405.7931387,341,20.0
1596331428.9183044,342,18.0
1596331454.4142177,343,18.0
1596331479.0021877,344,19.0
1596331503.2360647,345,20.0
1596331526.7462807,346,20.0
1596331553.2041118,347,20.0
1596331577.8580098,348,18.0
1596331614.718243,349,5.0
1596331634.8723595,350,21.0
1596332078.6954648,351,21.0
1596332101.7796803,352,17.0
1596332123.691758,353,17.0
1596332143.3304703,354,21.0
1596332165.2685168,355,21.0
1596332187.5937102,356,20.0
1596332210.2823849,357,19.0
1596332229.8976262,358,21.0
1596332252.2127366,359,20.0
1596332278.1386526,360,19.0
1596332301.083534,361,20.0
1596332320.6403532,362,21.0
